query_id,query_text,top5_latest_relevant_dates,top5_latest_relevant_months,top5_latest_all_before_window_start
072f1af47be326cbe50092e56576c209,character narrative analysis in animated series,"2025-02-23, 2024-12-19, 2023-09-29, 2022-10-14, 2022-01-20","2025-02, 2024-12, 2023-09, 2022-10, 2022-01",True
0b155c7fdc95ddd69962e106dfaed576,wagner soldier,"2017-01-01, 2016-10-01, 2015-01-01, 2013-07-18, 2012-04-01","2017-01, 2016-10, 2015-01, 2013-07, 2012-04",True
0e8e69ebcd11bc70aeb0102176cbf69b,fish based paper,"2024-05-15, 2020-01-01, 2019-01-01, 2013-02-26, 2013-01-01","2024-05, 2020-01, 2019-01, 2013-02, 2013-01",True
10fdb11b13fff4b822ddc239ad6f3969,vegetarian protein,"2024-12-01, 2023-01-01, 2022-01-01, 2020-11-20, 2020-04-22","2024-12, 2023-01, 2022-01, 2020-11, 2020-04",True
1200cc678dce697633576f9941994baa,psychology human behavior,"2020-07-03, 2020-01-01, 2019-01-01, 2019-01-01, 2018-01-01","2020-07, 2020-01, 2019-01, 2019-01, 2018-01",True
123cf37ccef0961a82918ad95c391866,library marketing and social media,"2024-09-10, 2023-06-30, 2023-04-21, 2021-09-22, 2021-08-01","2024-09, 2023-06, 2023-04, 2021-09, 2021-08",True
14d317d015117766bee743c1503b9307,remote working,2024-05-10,2024-05,True
161820e44e7022cf44fd99a59bce5792,zero trust security in cybersecurity,"2024-12-01, 2024-11-13, 2024-08-27, 2024-01-01, 2023-12-19","2024-12, 2024-11, 2024-08, 2024-01, 2023-12",True
19a43a2b512e5ddd5e1b336c958b892e,lgbtq youth tiktok,"2023-01-01, 2022-04-15","2023-01, 2022-04",True
1a2f5d355af40cba5cc9ad1ffddd114e,pirineos,"2023-08-01, 2023-05-01, 2022-03-28, 2022-01-01, 2019-07-01","2023-08, 2023-05, 2022-03, 2022-01, 2019-07",True
1c6ca51a558f678acf1b1d1a8b145f54,teacher and student relationship,"2024-07-01, 2021-05-01, 2020-01-24, 2018-01-01","2024-07, 2021-05, 2020-01, 2018-01",True
1f4a02148d3138e7a04d14cca49f0f4e,privacy by design,"2024-01-01, 2021-01-01, 2019-05-22, 2018-06-18, 2017-05-01","2024-01, 2021-01, 2019-05, 2018-06, 2017-05",True
1f50741d080a161ff0cde0b31cfd685e,extracurricular activities,"2025-02-01, 2024-05-01, 2023-12-01, 2020-12-01, 2017-01-01","2025-02, 2024-05, 2023-12, 2020-12, 2017-01",True
21e8c323e168b0813eff14fdac972f1f,online education bangladesh,"2021-09-02, 2021-09-01, 2020-07-31","2021-09, 2021-09, 2020-07",True
23b98abd4686855f0ed05c6d1a01e2b9,sources of academic stress,"2023-07-06, 2021-01-01, 2020-01-01, 2019-03-17, 2019-01-01","2023-07, 2021-01, 2020-01, 2019-03, 2019-01",True
25affb391b5a4052cc6750a79fd6162f,proper generalized decomposition,2017-06-01,2017-06,True
27d5a858b54377ad38312dc515812683,teenage pregnancy,2010-01-01,2010-01,True
286b151fe9f88f9457878c2655e4f2da,university research and sustainable development goals,"2024-11-12, 2024-10-29, 2024-06-30, 2024-01-01, 2023-11-15","2024-11, 2024-10, 2024-06, 2024-01, 2023-11",True
2d885b04956ddd2e729af5d7e6f50384,relationship between student engagement and academic outcomes,"2023-07-31, 2018-01-16, 2018-01-01, 2017-06-26, 2016-01-01","2023-07, 2018-01, 2018-01, 2017-06, 2016-01",True
2eff8040c4e28557c51361ab9b8db57d,zero trust security in cse,"2023-09-01, 2019-12-29, 2019-12-29, 2019-11-30, 2019-10-02","2023-09, 2019-12, 2019-12, 2019-11, 2019-10",True
2fae882aa26665d7522162f134babcdf,flooding warning alert system in philippines,"2022-12-01, 2021-01-01, 2019-12-01, 2018-06-10","2022-12, 2021-01, 2019-12, 2018-06",True
30c3ebbc6708a3454d82f9a8c11796fa,memory and history,"2018-01-01, 2016-04-01, 2016-01-20, 2011-09-01, 2007-01-01","2018-01, 2016-04, 2016-01, 2011-09, 2007-01",True
3126294258753cc2e2eb7b7053bf2131,homophobia,"2024-03-22, 2023-01-01, 2017-12-01, 2016-12-01, 2016-11-08","2024-03, 2023-01, 2017-12, 2016-12, 2016-11",True
328e016c9773ff748f749f1fdd081b8d,amyotrophic lateral sclerosis and tdp-43 aggregate,"2024-09-01, 2024-07-16, 2024-06-12, 2024-06-01, 2024-06-01","2024-09, 2024-07, 2024-06, 2024-06, 2024-06",True
32dcf5f64658b023229d877bf4a86084,cyberbullying,"2025-01-21, 2018-05-01, 2018-01-01, 2017-01-01, 2016-01-01","2025-01, 2018-05, 2018-01, 2017-01, 2016-01",True
3364789dac36e8123f8dd056561eaf33,remote work,"2024-01-03, 2024-01-01, 2023-05-31, 2022-01-01, 2021-01-01","2024-01, 2024-01, 2023-05, 2022-01, 2021-01",True
343570543e89b17f992e31c939eb8baf,school bullying,"2012-09-19, 2012-01-01, 2011-04-01","2012-09, 2012-01, 2011-04",True
34761729cc3fd73195d5840b733ca362,automation,"2017-09-21, 2017-01-01, 2013-09-19, 2013-02-03, 2011-09-01","2017-09, 2017-01, 2013-09, 2013-02, 2011-09",True
35bb643809f197b68021794ad8ad1319,"drug use, family, adolescent, relationship","2021-01-01, 2020-01-01, 2019-02-01, 2016-01-01, 2012-04-01","2021-01, 2020-01, 2019-02, 2016-01, 2012-04",True
35e64efe49a5eb9b5f9ee7e7464352fc,personal goals,"2019-10-01, 2019-03-01, 2018-01-01, 2017-06-01, 2017-05-02","2019-10, 2019-03, 2018-01, 2017-06, 2017-05",True
38323ace1b617b418f533f54c09c7228,teacher engagement,2017-01-01,2017-01,True
38a5737828cd22eb5c45c3fbe66340d5,design of sewage treatment plant,"2020-06-30, 2019-12-15, 2018-03-27, 2016-01-01, 2015-01-01","2020-06, 2019-12, 2018-03, 2016-01, 2015-01",True
3a180af85b747f6a7c2f74ec1a6e8b24,looting heritage,"2024-07-12, 2024-01-01, 2023-12-01, 2023-01-01, 2022-11-01","2024-07, 2024-01, 2023-12, 2023-01, 2022-11",True
40a8df88721f3a9f1363c47c7d996d5e,civil engineering,"2013-11-10, 2013-01-01, 2011-11-25, 2011-01-01, 1941-01-01","2013-11, 2013-01, 2011-11, 2011-01, 1941-01",True
457a31118f77a546ba448804ddbb23ab,beauty standards,"2024-12-01, 2024-11-05, 2024-01-09, 2024-01-01, 2023-12-01","2024-12, 2024-11, 2024-01, 2024-01, 2023-12",True
45d19e089d62f6d06d3fbb1676ae4b85,pineapple fibers shoes,"2024-10-01, 2024-07-09, 2023-12-28, 2023-01-01, 2022-04-28","2024-10, 2024-07, 2023-12, 2023-01, 2022-04",True
4eb1811f5597cbb51193ff49c7d79af9,bilingual education,"2013-11-30, 2009-03-03","2013-11, 2009-03",True
504ba8f0091eef715f16ccbb63ed5ac9,sadat commitment of the armed forces,"2017-01-01, 2016-09-21, 2015-04-01, 2013-06-01, 2012-01-01","2017-01, 2016-09, 2015-04, 2013-06, 2012-01",True
58693f8e42bc57d9db6db40b90b142de,exploring the effectiveness of using filipino language in teaching mathematics and science,"2024-11-26, 2024-06-03, 2023-09-22, 2022-01-22, 2021-12-29","2024-11, 2024-06, 2023-09, 2022-01, 2021-12",True
5980d90c7c34207a2ea5476d8be72f7d,bereaved children and creative therapy,"2024-04-01, 2022-05-21, 2022-05-21, 2020-05-16, 2020-05-16","2024-04, 2022-05, 2022-05, 2020-05, 2020-05",True
5a027ebb79a4b16c5ecb16737c2fec26,first-generation students,"2020-03-31, 2020-01-01, 2019-05-03, 2019-01-01, 2019-01-01","2020-03, 2020-01, 2019-05, 2019-01, 2019-01",True
5a889567c7096c0801a004e4755d7c9d,online higher education in the uk,"2024-05-08, 2024-05-01, 2023-11-01, 2023-06-01, 2023-01-01","2024-05, 2024-05, 2023-11, 2023-06, 2023-01",True
667d3011d775d6892b99824e96fd5cc9,pandemic and reading comprehension,"2022-06-20, 2021-10-04, 2021-01-01","2022-06, 2021-10, 2021-01",True
66aa4fe59b0d5d3465d108fde45ef3b3,eccentrically braced frames,"2024-07-05, 2024-06-01, 2024-06-01, 2023-11-28, 2023-09-27","2024-07, 2024-06, 2024-06, 2023-11, 2023-09",True
