method,family,qrels_variant,run_path,ndcg_cut_10,ndcg_cut_1000,map,recall_100,recall_1000
bm25_ft_direct,temporal,dctr,outputs/bm25_ft_direct/snapshot-1-train/run.txt,0.3588489672335167,0.5294687541418327,0.31233780528002264,0.77307383391096,0.924542770069642
bm25_ft_additive,temporal_citation,dctr,outputs/bm25_ft_additive/snapshot-1-train/run.txt,0.3311724603575761,0.5088136743657491,0.28632758855523405,0.7393793873631185,0.924542770069642
bm25_ft_router,temporal_citation,dctr,outputs/bm25_ft_router/snapshot-1-train/run.txt,0.3311186054411368,0.5086996970346782,0.2860666191232564,0.7393793873631185,0.924542770069642
custom_lexical_fulltext,base,dctr,outputs\custom_lexical_fulltext\snapshot-1-train\run.txt,0.33017325367375333,0.5077353847617554,0.28526696916176536,0.7393793873631186,0.9245427700696421
bm25_ft_citation_only,temporal_citation,dctr,outputs/bm25_ft_citation_only/snapshot-1-train/run.txt,0.3301732536737532,0.507735688920998,0.28526728758188374,0.7393793873631185,0.924542770069642
custom_title_abstract_rerank,base,dctr,outputs\custom_title_abstract_rerank\snapshot-1-train\run.txt,0.3221555267026372,0.48206049747119795,0.2777275142389519,0.6952075123579022,0.8580615587340512
rrf_bm25_ft_dense_ta,fusion,dctr,outputs\rrf_bm25_ft_dense_ta\snapshot-1-train\run.txt,0.31753078043128113,0.517334165741915,0.27488404402362604,0.7806318970413293,0.9667380959574122
official_pyterrier_dense_temporal,temporal,dctr,outputs\official_pyterrier_dense_temporal\snapshot-1-train\run.txt,0.3068637710038839,0.46294940745361984,0.2551414679180851,0.6400205170195461,0.8613187064152928
rrf_bm25_ta_bm25_ft_dense_ta,fusion,dctr,outputs\rrf_bm25_ta_bm25_ft_dense_ta\snapshot-1-train\run.txt,0.30281693590552455,0.5084050484442266,0.2572375613757943,0.787027390197183,0.9805612687278468
official_pyterrier,base,dctr,outputs\official_pyterrier\snapshot-1-train\run.txt,0.29221559108544737,0.45639639909005075,0.2572624910389203,0.6836081280512302,0.8580615587340512
official_pyterrier_dense,base,dctr,outputs\official_pyterrier_dense\snapshot-1-train\run.txt,0.282026334517185,0.44828436674215977,0.23777381921846763,0.6389806065954771,0.8613187064152928
custom_title_abstract_rm3,base,dctr,outputs\custom_title_abstract_rm3\snapshot-1-train\run.txt,0.27812922888061964,0.45101961070166363,0.24017243056035148,0.6559464540124164,0.8701397990870102
custom_title_abstract_rerank_temporal,temporal,dctr,outputs\custom_title_abstract_rerank_temporal\snapshot-1-train\run.txt,0.26796508735006985,0.43073636377960284,0.23537294809761114,0.5446723941108785,0.8580615587340512
